STOPPOINTREF,VEHICLEREF,PROGRESSRATE,EXPECTEDDEPARTURETIME,STOPPOINT,VISITNUMBER,DATAFRAMEREF,STOPPOINTNAME,SITUATIONSIMPLEREF5,SITUATIONSIMPLEREF3,BEARING,SITUATIONSIMPLEREF4,SITUATIONSIMPLEREF1,ORIGINAIMEDDEPARTURETIME,SITUATIONSIMPLEREF2,JOURNEYPATTERNREF,RECORDEDATTIME,OPERATORREF,DESTINATIONNAME,EXPECTEDARRIVALTIME,BLOCKREF,LINEREF,VEHICLELOCATIONLONGITUDE,DIRECTIONREF,ARRIVALPROXIMITYTEXT,DISTANCEFROMSTOP,ESTIMATEDPASSENGERCAPACITY,AIMEDARRIVALTIME,PUBLISHEDLINENAME,DATEDVEHICLEJOURNEYREF,DATE,MONITORED,PROGRESSSTATUS,DESTINATIONREF,ESTIMATEDPASSENGERCOUNT,VEHICLELOCATIONLATITUDE,ORIGINREF,NUMBEROFSTOPSAWAY,TS,UUID,INGESTION_TIME,SOURCE_SYSTEM,PROCESSING_STATUS
MTA_982109,MTABC_9266,noProgress,2025-08-05T17:11:43.090-04:00,,1,2025-08-05,QUEENS PLAZA SOUTH/27 ST,,,338.00888,,,2025-08-05T17:18:00.000-04:00,,MTA_Q1000200,2025-08-05T17:11:18.011-04:00,MTABC,LIMITED LI CITY QUEENS PLZ,2025-08-05T17:11:43.090-04:00,MTABC_LGPC5-LG_C5-Weekday-03_7884486,MTABC_Q100,-73.940502,1,approaching,79,80,2025-08-05T17:08:00.686-04:00,Q100,MTABC_43128684-LGPC5-LG_C5-Weekday-03,"Tue, 05 Aug 2025 21:11:50 GMT",true,layover,MTA_982109,1,40.750505,MTA_552077,0,1754428314172,fc0e12aa-d309-4072-b447-676fabb836d4,2025-08-05 21:14:30.779,MTA_REALTIME,PROCESSED
MTA_505192,MTABC_9268,normalProgress,2025-08-05T17:12:36.625-04:00,,1,2025-08-05,ROOSEVELT AV/74 ST,,,5.943628,,,,,MTA_Q470309,2025-08-05T17:11:21.492-04:00,MTABC,MARINE AIR TERMINAL A,2025-08-05T17:12:36.625-04:00,MTABC_LGPC5-LG_C5-Weekday-03_7884427,MTABC_Q47,-73.892526,0,approaching,107,,2025-08-05T17:13:00.667-04:00,Q47,MTABC_43128038-LGPC5-LG_C5-Weekday-03,"Tue, 05 Aug 2025 21:11:50 GMT",true,,MTA_982170,,40.746767,MTA_553201,0,1754428314172,49045d35-19f0-4bdb-b65f-390906bd71c2,2025-08-05 21:14:30.779,MTA_REALTIME,PROCESSED
MTA_503333,MTABC_9269,normalProgress,2025-08-05T17:13:41.081-04:00,,1,2025-08-05,QUEENS BLVD/41 ST,,,174.78506,,MTABC_lmm:planned_work:26464,,MTABC_lmm:planned_work:25729,MTA_Q320038,2025-08-05T17:11:14.848-04:00,MTABC,PENN STATION,2025-08-05T17:13:41.081-04:00,MTABC_LGPC5-LG_C5-Weekday-03_7884361,MTABC_Q32,-73.920122,1,< 1 stop away,284,,2025-08-05T17:14:16.648-04:00,Q32,MTABC_43129818-LGPC5-LG_C5-Weekday-03,"Tue, 05 Aug 2025 21:11:50 GMT",true,,MTA_903085,,40.743519,MTA_503574,0,1754428314171,328d2489-abd1-404c-a1d7-6832fcf8c246,2025-08-05 21:14:30.779,MTA_REALTIME,PROCESSED
MTA_553178,MTABC_1305,normalProgress,2025-08-05T17:11:52.497-04:00,,1,2025-08-05,WOODHAVEN BLVD/BOOTH ST,,,9.83586,,,,,MTA_QM100175,2025-08-05T17:11:05.000-04:00,MTABC,LEFRAK CITY,2025-08-05T17:11:52.497-04:00,MTABC_CPPC5-CP_C5-Weekday-03_7883372,MTABC_QM10,-73.873031,0,< 1 stop away,193,,2025-08-05T17:27:00.628-04:00,QM10,MTABC_43120374-CPPC5-CP_C5-Weekday-03,"Tue, 05 Aug 2025 21:11:50 GMT",true,,MTA_551991,,40.731037,MTA_401840,0,1754428314171,b690f692-2596-478d-9570-9ee13764250e,2025-08-05 21:14:30.779,MTA_REALTIME,PROCESSED
MTA_551990,MTABC_9274,normalProgress,2025-08-05T17:12:03.863-04:00,,1,2025-08-05,JUNCTION BLVD/57 AV,,,115.29555,,,,,MTA_Q720188,2025-08-05T17:11:22.657-04:00,MTABC,LAGUARDIA AIRPORT TERMINALS B & C via JUNCTION BL,2025-08-05T17:12:03.863-04:00,MTABC_LGPC5-LG_C5-Weekday-03_7884421,MTABC_Q72,-73.865568,0,approaching,77,80,2025-08-05T17:10:35.581-04:00,Q72,MTABC_43130073-LGPC5-LG_C5-Weekday-03,"Tue, 05 Aug 2025 21:11:50 GMT",true,,MTA_503848,23,40.736162,MTA_551987,0,1754428314169,d1520c1b-29ac-4312-8676-b521e9bcec31,2025-08-05 21:14:30.779,MTA_REALTIME,PROCESSED
MTA_551552,MTABC_9278,normalProgress,,,1,2025-08-05,79 ST/GRAND AV,,,208.30075,,,,,MTA_Q470309,2025-08-05T17:11:00.057-04:00,MTABC,MARINE AIR TERMINAL A,,MTABC_LGPC5-LG_C5-Weekday-03_7884574,MTABC_Q47,-73.885557,0,at stop,20,80,2025-08-05T17:09:49.565-04:00,Q47,MTABC_43128042-LGPC5-LG_C5-Weekday-03,"Tue, 05 Aug 2025 21:11:50 GMT",true,,MTA_982170,10,40.730978,MTA_553201,0,1754428314168,79e615a7-1cf5-4c16-bb39-c01cda646b01,2025-08-05 21:14:30.779,MTA_REALTIME,PROCESSED
MTA_450096,MTABC_1312,normalProgress,,,1,2025-08-05,MADISON AV/E 44 ST,,,53.972626,,,,,MTA_BXM90148,2025-08-05T17:11:01.628-04:00,MTABC,THROGS NECK LAYTON AV via TREMONT AV via HARDING AV,,MTABC_CPPC5-CP_C5-Weekday-03_7883421,MTABC_BXM9,-73.978305,0,at stop,7,65,2025-08-05T17:10:44.547-04:00,BxM9,MTABC_43122038-CPPC5-CP_C5-Weekday-03,"Tue, 05 Aug 2025 21:11:50 GMT",true,,MTA_103192,13,40.754184,MTA_981014,0,1754428314168,a85823f2-8ef0-4a74-9534-316946bc196b,2025-08-05 21:14:30.779,MTA_REALTIME,PROCESSED
MTA_501337,MTABC_1324,normalProgress,2025-08-05T17:11:31.139-04:00,,1,2025-08-05,188 ST/73 AV,,,115.378426,,MTABC_lmm:alert:456257,,,MTA_QM50325,2025-08-05T17:10:59.047-04:00,MTABC,GLEN OAKS 260 ST via H HRDNG EXPWY,2025-08-05T17:11:31.139-04:00,MTABC_CPPC5-CP_C5-Weekday-03_7883534,MTABC_QM5,-73.782915,0,at stop,8,65,2025-08-05T16:51:18.474-04:00,QM5,MTABC_43120315-CPPC5-CP_C5-Weekday-03,"Tue, 05 Aug 2025 21:11:50 GMT",true,,MTA_502350,14,40.732935,MTA_450012,0,1754428314167,92359d76-ced3-4973-98f6-185b28596e83,2025-08-05 21:14:30.779,MTA_REALTIME,PROCESSED
MTA_551693,MTABC_1326,normalProgress,2025-08-05T17:16:45.853-04:00,,1,2025-08-05,QUEENS BLVD/72 DR,,,297.97946,,MTABC_lmm:planned_work:23568,,,MTA_QM110157,2025-08-05T17:11:17.000-04:00,MTABC,REGO PARK LEFRAK CITY,2025-08-05T17:16:45.853-04:00,MTABC_CPPC5-CP_C5-Weekday-03_7883503,MTABC_QM11,-73.846608,0,0.6 miles away,983,65,2025-08-05T17:00:00.455-04:00,QM11,MTABC_43121363-CPPC5-CP_C5-Weekday-03,"Tue, 05 Aug 2025 21:11:50 GMT",true,,MTA_551693,1,40.724216,MTA_450506,0,1754428314167,c29175d8-0a68-4e0e-8807-aac743b12a5e,2025-08-05 21:14:30.779,MTA_REALTIME,PROCESSED
MTA_553046,MTABC_9218,normalProgress,,,1,2025-08-05,69 AV/JUNO ST,,,159.96556,,MTABC_lmm:planned_work:25709,,,MTA_Q230215,2025-08-05T17:11:10.009-04:00,MTABC,EAST ELMHURST DITMARS BL via 108 ST,,MTABC_LGPC5-LG_C5-Weekday-03_7884575,MTABC_Q23,-73.853421,0,approaching,93,80,2025-08-05T17:08:01.394-04:00,Q23,MTABC_43130272-LGPC5-LG_C5-Weekday-03,"Tue, 05 Aug 2025 21:11:50 GMT",true,,MTA_504485,13,40.7149,MTA_553383,0,1754428314166,1ac306e1-11fa-4503-98c1-0bcc22b6dd9f,2025-08-05 21:14:30.779,MTA_REALTIME,PROCESSED
