STOPPOINTREF,VEHICLEREF,PROGRESSRATE,EXPECTEDDEPARTURETIME,EXPECTEDARRIVALTIME,ORIGINAIMEDDEPARTURETIME,AIMEDARRIVALTIME,RECORDEDATTIME,STOPPOINT,VISITNUMBER,DATAFRAMEREF,STOPPOINTNAME,JOURNEYPATTERNREF,DATEDVEHICLEJOURNEYREF,SITUATIONSIMPLEREF1,SITUATIONSIMPLEREF2,SITUATIONSIMPLEREF3,SITUATIONSIMPLEREF4,SITUATIONSIMPLEREF5,BEARING,OPERATORREF,DESTINATIONNAME,BLOCKREF,LINEREF,DIRECTIONREF,PUBLISHEDLINENAME,DESTINATIONREF,ORIGINREF,VEHICLELOCATIONLONGITUDE,VEHICLELOCATIONLATITUDE,ARRIVALPROXIMITYTEXT,DISTANCEFROMSTOP,NUMBEROFSTOPSAWAY,PROGRESSSTATUS,MONITORED,ESTIMATEDPASSENGERCAPACITY,ESTIMATEDPASSENGERCOUNT,DATE,TS,UUID,INGESTION_TIME,SOURCE_SYSTEM,PROCESSING_STATUS
MTA_404081,MTA NYCT_9782,normalProgress,2025-08-07T18:15:35.025-04:00,2025-08-07T18:15:35.025-04:00,,2025-08-07T18:16:18.553-04:00,2025-08-07T18:15:08.788-04:00,,1,2025-08-07,5 AV/E 98 ST,MTA_M030111,MTA NYCT_MV_C5-Weekday-SDon-102600_M3_334,,,,,,233.790542603,MTA NYCT,EAST VILLAGE 8 ST via 5 AV,MTA NYCT_MV_C5-Weekday-SDon_E_MV_24540_M3-316,MTA NYCT_M3,1,M3,MTA_400001,MTA_400448,-73.954627991,40.789459229,approaching,37,0,,true,80,13,"Thu, 07 Aug 2025 22:15:56 GMT",2025-08-07 22:15:57.505,e2ac9255-abb2-4830-bba8-0c36cc2fd265,2025-08-07 22:46:39.428,MTA_REALTIME,PROCESSED
MTA_300631,MTA NYCT_4881,normalProgress,2025-08-07T18:16:25.880-04:00,2025-08-07T18:16:25.880-04:00,,2025-08-07T18:04:22.399-04:00,2025-08-07T18:15:16.000-04:00,,1,2025-08-07,GLENWOOD RD/E 39 ST,MTA_B60069,MTA NYCT_UP_C5-Weekday-SDon-106000_B6_270,MTA NYCT_lmm:planned_work:23571,,,,,183.001525879,MTA NYCT,BENSONHURST - 25 AV - CROPSEY AV,MTA NYCT_UP_C5-Weekday-SDon_E_UP_51960_B6-270,MTA NYCT_B6,1,B6,MTA_901691,MTA_901022,-73.937614441,40.634605408,< 1 stop away,163,0,,true,80,18,"Thu, 07 Aug 2025 22:15:56 GMT",2025-08-07 22:15:57.591,9ff5210d-dc63-4f9f-a671-907f92035da1,2025-08-07 22:46:39.428,MTA_REALTIME,PROCESSED
MTA_300564,MTA NYCT_4880,normalProgress,2025-08-07T18:15:55.821-04:00,2025-08-07T18:15:55.821-04:00,,2025-08-07T18:23:49.394-04:00,2025-08-07T18:15:15.000-04:00,,1,2025-08-07,FLATLANDS AV/E 82 ST,MTA_B60047,MTA NYCT_UP_C5-Weekday-SDon-103700_B6_252,MTA NYCT_lmm:planned_work:23571,,,,,30.596010208,MTA NYCT,ROCKAWAY PKY STA,MTA NYCT_UP_C5-Weekday-SDon_E_UP_50340_B6-252,MTA NYCT_B6,0,B6,MTA_901012,MTA_300505,-73.912834167,40.635795593,approaching,100,0,,true,80,7,"Thu, 07 Aug 2025 22:15:56 GMT",2025-08-07 22:15:57.590,178ccd9a-f39b-4658-b031-e47910d5a7d3,2025-08-07 22:46:39.428,MTA_REALTIME,PROCESSED
MTA_500018,MTA NYCT_8409,normalProgress,2025-08-07T18:17:36.511-04:00,2025-08-07T18:17:36.511-04:00,,2025-08-07T18:22:00.388-04:00,2025-08-07T18:15:06.000-04:00,,1,2025-08-07,HILLSIDE AV/FRANCIS LEWIS BLVD,MTA_Q820026,MTA NYCT_QV_C5-Weekday-SDon-108300_MISC_309,,,,,,18.434947968,MTA NYCT,RUSH BELMONT PARK,MTA NYCT_QV_C5-Weekday-SDon_E_QV_56400_MISC-309,MTA NYCT_Q82,0,Q82,MTA_904250,MTA_700816,-73.768562317,40.716850281,0.6 miles away,887,0,,true,80,55,"Thu, 07 Aug 2025 22:15:56 GMT",2025-08-07 22:15:57.590,86543064-c895-46a6-9ab6-cecfeafee718,2025-08-07 22:46:39.428,MTA_REALTIME,PROCESSED
MTA_405506,MTA NYCT_9737,noProgress,,,2025-08-07T18:20:00.000-04:00,2025-08-07T18:20:00.383-04:00,2025-08-07T18:15:23.575-04:00,,1,2025-08-07,W 44 ST/6 AV,MTA_M550566,MTA NYCT_MQ_C5-Weekday-SDon-110000_M55_413,MTA NYCT_lmm:planned_work:23566,,,,,337.250671387,MTA NYCT,SOUTH FERRY,MTA NYCT_MQ_C5-Weekday-SDon_E_MQ_28200_M55-406,MTA NYCT_M55,1,M55,MTA_405068,MTA_405506,-73.982795715,40.755981445,at stop,0,0,layover,true,,,"Thu, 07 Aug 2025 22:15:56 GMT",2025-08-07 22:15:57.589,83fbc09e-4e04-44f0-ba71-21a59e4f0d68,2025-08-07 22:46:39.428,MTA_REALTIME,PROCESSED
MTA_803058,MTA NYCT_9743,noProgress,2025-08-07T18:15:35.575-04:00,2025-08-07T18:15:35.575-04:00,2025-08-07T18:19:00.000-04:00,2025-08-07T18:13:00.362-04:00,2025-08-07T18:15:31.714-04:00,,1,2025-08-07,E 72 ST/YORK AV,MTA_M720013,MTA NYCT_MQ_C5-Weekday-SDon-106200_M72_617,,,,,,337.651885986,MTA NYCT,EAST SIDE YORK AV CROSSTOWN,MTA NYCT_MQ_C5-Weekday-SDon_E_MQ_26460_M72-607,MTA NYCT_M72,0,M72,MTA_803058,MTA_405308,-73.954231262,40.767066956,at stop,12,0,layover,true,80,10,"Thu, 07 Aug 2025 22:15:56 GMT",2025-08-07 22:15:57.589,7e9d3d6a-374a-4dc3-b088-241cfdc769b5,2025-08-07 22:46:39.428,MTA_REALTIME,PROCESSED
MTA_405376,MTA NYCT_9744,noProgress,2025-08-07T18:15:35.553-04:00,2025-08-07T18:15:35.553-04:00,2025-08-07T18:15:00.000-04:00,2025-08-07T18:06:00.351-04:00,2025-08-07T18:15:26.622-04:00,,1,2025-08-07,BROADWAY/W 57 ST,MTA_M100013,MTA NYCT_MV_C5-Weekday-SDon-102500_M10_17,,,,,,263.290161133,MTA NYCT,57 ST-BROADWAY via CENTRAL PK W.,MTA NYCT_MV_C5-Weekday-SDon_E_MV_52200_M10-17,MTA NYCT_M10,1,M10,MTA_405376,MTA_404135,-73.981765747,40.76669693,at stop,19,0,layover,true,80,1,"Thu, 07 Aug 2025 22:15:56 GMT",2025-08-07 22:15:57.589,5bf89a01-adda-4048-ad1d-d04e502a0b09,2025-08-07 22:46:39.428,MTA_REALTIME,PROCESSED
MTA_401381,MTA NYCT_9750,normalProgress,2025-08-07T18:15:59.866-04:00,2025-08-07T18:15:59.866-04:00,,2025-08-07T18:04:35.256-04:00,2025-08-07T18:15:13.986-04:00,,1,2025-08-07,WEST BROADWAY/DUANE ST,MTA_M200502,MTA NYCT_MQ_C5-Weekday-SDon-103000_M20_160,MTA NYCT_lmm:planned_work:23566,,,,,231.469818115,MTA NYCT,SOUTH FERRY via 7 AV via BAT PK CITY,MTA NYCT_MQ_C5-Weekday-SDon_E_MQ_21600_M20-151,MTA NYCT_M20,1,M20,MTA_405068,MTA_404138,-74.007728577,40.717399597,approaching,138,0,,true,80,8,"Thu, 07 Aug 2025 22:15:56 GMT",2025-08-07 22:15:57.587,afe97501-abd4-427c-b35a-29611c9ce3a1,2025-08-07 22:46:39.428,MTA_REALTIME,PROCESSED
MTA_501936,MTA NYCT_8422,normalProgress,2025-08-07T18:15:48.177-04:00,2025-08-07T18:15:48.177-04:00,,2025-08-07T18:16:00.243-04:00,2025-08-07T18:15:30.000-04:00,,1,2025-08-07,JAMAICA AV/220 ST,MTA_Q360169,MTA NYCT_QV_C5-Weekday-SDon-106500_MISC_258,,,,,,25.559965134,MTA NYCT,RUSH LITTLE NECK LIRR STATION,MTA NYCT_QV_C5-Weekday-SDon_E_QV_62160_MISC-258,MTA NYCT_Q36,0,Q36,MTA_503214,MTA_700816,-73.734924316,40.718681335,approaching,74,0,,true,80,14,"Thu, 07 Aug 2025 22:15:56 GMT",2025-08-07 22:15:57.586,6ae53834-da98-4370-b4e6-67096ee639d6,2025-08-07 22:46:39.428,MTA_REALTIME,PROCESSED
MTA_101318,MTA NYCT_5361,normalProgress,2025-08-07T18:15:44.694-04:00,2025-08-07T18:15:44.694-04:00,,2025-08-07T18:16:45.193-04:00,2025-08-07T18:15:10.000-04:00,,1,2025-08-07,SOUTHERN BLVD/E 149 ST,MTA_BX191712,MTA NYCT_WF_C5-Weekday-SDon-105400_BX19_342,,,,,,329.743560791,MTA NYCT,BRONX PARK via 149 ST via SOUTHERN,MTA NYCT_WF_C5-Weekday-SDon_E_WF_57060_BX19-342,MTA NYCT_BX19,0,Bx19,MTA_902030,MTA_803195,-73.904243469,40.812156677,approaching,54,0,,true,,,"Thu, 07 Aug 2025 22:15:56 GMT",2025-08-07 22:15:57.585,eebb3636-672e-4b70-8219-f16e849cce6c,2025-08-07 22:46:39.428,MTA_REALTIME,PROCESSED
